code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g	prediction
9.4600115E8		1569.0	0.0	0.0	100.0	100.0	375.0	0.0	0.0	0.0	0.0	0.0	14.0	3
9.460021E8		1841.0	8.0	16.0	66.0	6.0	440.0	8.0	1.75	0.7	4.0	0.0	16.0	6
9.4600294E8		1046.0	0.0	0.0	50.0	0.0	250.0	0.0	50.0	20.0	0.0	0.0	13.0	0
9.4600314E8		151.0	15.0	7.5	60.0	33.0	36.0	4.41	6.03	2.412	0.7	0.0	21.0	6
9.46005E8		0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.75	39.5	0.0	0.0	10.0	0
9.4611104E8		2293.0	0.0	35.71	42.86	28.57	548.0	33.33	0.0	0.0	4.8	16.666666	17.0	1
9.461111E8		1464.0	10.0	0.0	50.0	50.0	350.0	0.0	0.0	0.0	20.0	100.0	-1.0	5
9.461111E8		1556.0	6.98	0.0	83.72	4.65	372.0	0.0	0.175	0.07	7.0	0.0	-4.0	0
9.461111E8		1456.0	8.7	0.0	82.61	4.35	348.0	0.0	0.0	0.0	8.7	0.0	-6.0	0
9.461112E8		1485.0	6.45	0.0	77.42	3.23	355.0	0.0	3.63	1.452	6.5	0.0	9.0	0
9.461115E8		1674.0	0.0	0.0	90.0	80.0	400.0	0.0	0.0	0.0	10.0	100.0	4.0	3
9.4613E8		1393.0	0.0	0.0	100.0	100.0	333.0	0.0	0.0	0.0	0.0	0.0	14.0	3
9.464002E8		2987.0	0.0	71.43	14.29	0.0	714.0	35.71	0.535	0.214	0.0	0.0	20.0	1
9.467013E8		1448.0	42.31	15.38	26.92	7.69	346.0	1.92	4.615	1.846	11.5	0.0	11.0	4
9.467015E8		1255.0	40.0	10.0	20.0	0.0	300.0	0.0	5.75	2.3	20.0	0.0	8.0	4
9.467016E8		1448.0	42.31	11.54	26.92	7.69	346.0	0.0	5.2875	2.115	15.4	0.0	10.0	4
9.46706E8		1477.0	0.0	0.0	94.12	52.94	353.0	0.0	0.955	0.382	11.8	50.0	12.0	3
9.468005E8		1695.0	8.11	13.51	64.86	24.32	405.0	2.7	1.6225	0.649	2.7	0.0	17.0	6
9.4680314E8		1523.0	12.12	4.55	69.7	6.06	364.0	0.0	2.045	0.818	3.0	0.0	11.0	6
9.4690157E8		1506.0	12.0	0.0	78.0	0.0	360.0	0.0	0.0	0.0	2.0	0.0	-3.0	0
9.469016E8		2251.0	46.15	38.46	0.0	0.0	538.0	11.54	1.73	0.692	0.0	0.0	23.0	4
9.469062E8		1393.0	33.33	0.0	52.38	47.62	333.0	0.0	1.37	0.548	0.0	0.0	20.0	6
9.469065E8		1728.0	8.7	15.22	60.87	17.39	413.0	8.7	5.325	2.13	2.2	0.0	24.0	6
9.469083E8		1820.0	2.17	21.74	60.87	4.35	435.0	10.87	4.675	1.87	0.0	0.0	25.0	1
9.46909E8		1724.0	17.65	14.71	47.06	5.88	412.0	11.76	1.6175	0.647	0.0	0.0	23.0	6
9.46909E8		1674.0	5.71	10.0	74.29	60.0	400.0	10.0	1.215	0.486	2.9	0.0	25.0	6
9.4690906E8		1393.0	66.67	0.0	0.0	0.0	333.0	0.0	0.0	0.0	0.0	0.0	-1.0	4
9645.0		1292.0	21.0	23.0	3.8	3.8	311.0	21.0	1.5	0.6	0.0	0.0	14.0	1
104.0		1724.0	5.0	18.0	57.0	31.0	412.0	2.0	0.63	0.252	1.0	125.8	5.0	5
10498.0		874.0	9.9	8.3	22.6	3.2	209.0	3.0	1.2	0.48	2.1	0.0	2.0	2
10894.0		96.0	0.77	0.0	4.62	3.08	23.0	0.0	0.3275	0.131	0.8	20.0	1.0	2
10948.0		728.0	1.1	6.0	24.5	5.0	174.0	0.7	1.1	0.44	2.0	28.0	5.0	2
1.1000641E9		2159.0	9.68	29.03	54.84	25.81	516.0	22.58	0.3225	0.129	3.2	0.0	19.0	1
11105.0		649.0	1.1	12.5	8.2	8.2	155.0	0.9	0.8	0.32	2.5	71.38461	1.0	5
1.1110523E9		1030.0	14.1	19.4	1.76	0.0	247.0	10.6	2.16	0.864	0.0	0.0	22.0	2
11136.0		929.0	11.7	3.3	38.4	1.8	222.0	2.1	1.7	0.68	2.0	0.0	9.0	2
11150.0		1213.0	12.5	4.5	41.0	2.0	290.0	4.5	2.3	0.92	9.4	0.0	12.0	0
11198.0		879.0	8.0	0.9	22.6	4.3	210.0	0.9	0.8	0.32	2.0	89.2	-6.0	5
11341.0		498.0	5.0	1.1	22.6	4.8	119.0	0.1	0.8	0.32	4.4	0.0	-2.0	2
11501.0		1665.0	0.9	0.5	96.0	96.0	398.0	0.5	0.0	0.0	0.1	0.0	14.0	3
11600.0		547.0	12.6	9.0	0.1	0.1	131.0	2.5	0.38	0.152	0.0	0.0	-1.0	2
11679.0		2100.0	5.4	26.0	60.1	37.4	502.0	15.2	0.9	0.36	2.8	0.0	25.0	1
11686.0		1866.0	5.5	17.9	64.3	34.7	446.0	11.0	0.85	0.34	3.0	0.0	22.0	1
11693.0		2171.0	5.5	29.1	58.4	33.5	519.0	17.0	1.0	0.4	1.3	0.0	26.0	1
11709.0		1887.0	5.1	20.5	59.3	36.5	451.0	13.3	0.78	0.312	4.2	27.0	22.0	1
11723.0		2209.0	10.7	32.1	46.9	20.7	528.0	14.9	0.65	0.26	4.5	22.0	18.0	1
11730.0		1799.0	4.4	15.2	67.5	41.2	430.0	8.6	0.75	0.3	2.7	29.0	23.0	6
11754.0		1979.0	6.1	20.8	63.6	31.8	473.0	13.7	0.58	0.232	3.3	0.0	21.0	1
11785.0		2100.0	6.0	25.3	61.1	33.4	502.0	11.9	0.63	0.252	3.0	0.0	22.0	1
11839.0		238.0	0.9	0.3	12.1	10.6	57.0	0.3	0.03	0.012	0.7	73.0	12.0	5
11945.0		255.0	1.0	3.5	5.0	4.5	61.0	0.2	0.7	0.28	2.5	0.0	1.0	2
12126.0		243.0	2.8	0.4	5.7	5.7	58.0	0.1	0.1	0.04	10.4	100.0	-10.0	5
12140.0		252.0	2.0	1.9	7.4	2.2	60.2	0.3	0.3	0.12	1.5	39.5	-1.0	2
1217.0		1076.0	12.0	13.0	24.0	0.07	256.0	4.1	1.2	0.48	1.1	0.0	11.0	2
12188.0		1063.0	8.6	14.4	20.4	3.0	254.0	3.2	0.9	0.36	4.3	88.2	-5.0	5
12195.0		916.0	9.7	8.0	26.3	2.1	219.0	2.1	1.5	0.6	0.6	0.0	5.0	2
12232.0		415.0	5.6	2.3	13.0	1.1	99.2	0.4	0.5	0.2	1.7	85.0	-6.0	5
